metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change,gdp_growth_2019_percent,gdp_growth_2020_percent,gdp_growth_2021_percent,gdp_growth_2022_percent,gdp_growth_2023_percent
16740,"Charlotte-Concord-Gastonia, NC-SC",0.8634,-0.0358,-0.001507,-0.005503,0.04281,-0.1811,0.2184,0.274,14.81,13.94,0.09764,0.1448,0.04715,10.34,10.95,0.605,0.1287,0.3729,0.2442,0.08282,0.04001,-0.04259,0.8788,0.175597,3.4,0.9,6.4,3.6,4.7
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.1436,-0.08198,-0.007085,0.05823,0.03084,-0.1019,0.1909,0.1927,16.05,15.9,0.09862,0.1601,0.0615,10.65,11.02,0.3723,0.1657,0.3772,0.2116,0.0874,0.05657,-0.0296,0.2197,0.160125,0.9,-5.4,5.8,2.5,1.4
17140,"Cincinnati, OH-KY-IN",0.2341,-0.09331,-0.01976,0.05874,0.05433,-0.08801,0.2011,0.2067,14.6,14.37,0.1066,0.1644,0.0578,10.52,10.95,0.4277,0.1418,0.3387,0.1969,0.111,0.05664,-0.05058,0.3284,0.14675,4.8,-1.8,4.3,1.0,1.7
17460,"Cleveland-Elyria, OH",-0.07241,-0.09082,-0.01015,0.03231,0.06866,-0.1122,0.2132,0.2228,14.52,14.59,0.1132,0.1966,0.0834,10.62,10.93,0.3064,0.1416,0.3347,0.1931,0.1318,0.06309,-0.06334,-0.03771,0.14451,2.6,-3.6,5.5,2.1,0.6
17820,"Colorado Springs, CO",0.851,-0.07755,-0.01259,0.04875,0.04139,-0.04459,0.1347,0.09305,13.52,12.67,0.06736,0.1469,0.07953,10.28,10.93,0.6455,0.1809,0.3862,0.2053,0.08656,0.04517,-0.04622,0.8743,0.093340002,4.2,2.9,5.8,1.7,4.4
17900,"Columbia, SC",0.4971,-0.054,0.005334,0.01336,0.03531,-0.06913,0.1178,0.1475,13.62,13.12,0.07951,0.1618,0.08224,10.28,10.78,0.4972,0.1785,0.3322,0.1537,0.09832,0.06301,-0.03186,0.5153,0.082486004,2.4,-1.0,5.6,2.0,3.4
18140,"Columbus, OH",0.4658,-0.09309,-0.01046,0.05068,0.05287,-0.08916,0.1927,0.1624,14.56,14.1,0.09094,0.1445,0.05355,10.46,10.96,0.5003,0.1666,0.3637,0.1971,0.1066,0.05373,-0.0463,0.5451,0.13984001,3.2,-1.1,7.0,1.3,1.8
19100,"Dallas-Fort Worth-Arlington, TX",0.9601,-0.04034,0.009754,-0.009622,0.04021,-0.1065,0.137,0.1753,15.89,14.93,0.084,0.1216,0.03759,10.49,10.94,0.446,0.1861,0.3535,0.1674,0.08474,0.04453,-0.03716,0.9743,0.096876003,3.9,-1.1,8.1,5.8,3.2
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.9361,-0.08819,-0.003747,0.04549,0.04644,-0.03481,0.1267,0.07328,13.44,12.5,0.2213,0.2653,0.04397,10.2,10.77,0.5705,0.1253,0.2638,0.1385,0.1063,0.05986,-0.04184,1.057,0.080306999,2.9,0.7,6.0,6.3,4.9
19740,"Denver-Aurora-Lakewood, CO",0.6843,-0.07388,-0.001681,0.03893,0.03663,-0.0461,0.1217,0.1078,14.87,14.19,0.07898,0.14,0.06107,10.57,11.11,0.537,0.2221,0.4494,0.2273,0.09419,0.05755,-0.03364,0.7598,0.085031003,5.3,0.1,7.3,4.7,3.5
19780,"Des Moines-West Des Moines, IA",0.5512,-0.06164,-0.006163,0.05264,0.01516,-0.02002,0.08783,0.1011,13.43,12.88,0.1098,0.1407,0.03084,10.52,11.0,0.4823,0.1631,0.3845,0.2214,0.08037,0.06521,-0.00813,0.6287,0.072663002,4.3,2.6,9.3,-1.5,1.0
19820,"Detroit-Warren-Dearborn, MI",-0.01178,-0.0777,-0.03486,0.07394,0.03861,-0.06734,0.1799,0.2238,15.27,15.29,0.09514,0.1766,0.08145,10.7,10.96,0.2536,0.1303,0.3158,0.1855,0.09673,0.05811,-0.03779,0.04831,0.14128999,0.4,-4.9,5.6,3.0,1.8
21340,"El Paso, TX",0.5758,-0.07321,-0.002337,0.03501,0.04053,-0.07966,0.1552,0.125,13.66,13.09,0.06595,0.13,0.06406,10.19,10.59,0.4065,0.126,0.2317,0.1056,0.08513,0.0446,-0.04048,0.6714,0.114677,5.4,-0.5,7.2,1.9,6.1
22220,"Fayetteville-Springdale-Rogers, AR-MO",1.053,-0.07341,-0.01194,0.06338,0.02196,-0.08702,0.1724,0.1805,13.28,12.23,0.1326,0.1323,-0.0002706,10.15,10.82,0.6787,0.1395,0.3128,0.1732,0.06889,0.04693,-0.02041,1.211,0.15041,2.2,4.3,9.6,4.1,1.4
23420,"Fresno, CA",0.6582,-0.05106,-0.01152,0.04424,0.01834,-0.02655,0.08913,0.08046,13.81,13.15,0.09999,0.1276,0.02765,10.36,10.82,0.4571,0.1426,0.214,0.07144,0.07241,0.05407,-0.01842,0.6909,0.07079,2.8,-1.3,3.6,0.2,3.3
24340,"Grand Rapids-Wyoming, MI",0.4271,-0.08188,-0.02749,0.04547,0.06389,-0.0664,0.1758,0.2366,13.88,13.45,0.09979,0.1586,0.05885,10.55,10.89,0.3468,0.1355,0.3259,0.1903,0.118,0.05407,-0.05111,0.4876,0.11188,0.7,-2.0,6.9,2.0,1.2
24660,"Greensboro-High Point, NC",0.4276,-0.003719,0.00144,-0.05904,0.06131,-0.1762,0.1784,0.2991,13.53,13.11,0.1028,0.1729,0.07011,10.33,10.76,0.433,0.1489,0.2981,0.1492,0.09954,0.03823,-0.06173,0.3532,0.117169,-1.1,-3.6,4.0,2.8,0.5
